# Mean DMX value = -3.805011e-04 
# Uncertainty in average DM = 8.38276e-03 
# Columns: DMXEP DMX_value DMX_var_err DMXR1 DMXR2 DMX_bin 
55276.8467 +4.7498354e-04 2.332e-05 55275.3006 55278.3927 DMX_0053 
55305.2685 +5.2672622e-04 3.422e-05 55305.2185 55305.3185 DMX_0054 
55359.2025 +3.1368693e-04 3.487e-05 55357.2386 55361.1664 DMX_0055 
55365.1467 +5.1074962e-04 2.467e-05 55365.0967 55365.1967 DMX_0056 
55393.0826 +3.5075054e-04 3.148e-05 55390.0497 55396.1155 DMX_0057 
55430.4711 -1.0966015e-04 1.848e-05 55429.9225 55431.0197 DMX_0058 
55462.8828 -1.6571476e-04 2.068e-05 55461.8358 55463.9298 DMX_0059 
55493.2542 -1.1898861e-04 2.169e-05 55492.7053 55493.8032 DMX_0060 
55521.1782 -2.2141696e-04 1.928e-05 55520.6294 55521.7269 DMX_0061 
55527.8473 -2.5556270e-04 6.161e-05 55527.7913 55527.9032 DMX_0062 
55543.6619 +2.1830253e-05 2.765e-05 55543.6119 55543.7119 DMX_0063 
55579.0645 -2.9363378e-04 2.046e-05 55578.5161 55579.6130 DMX_0064 
55616.9161 -1.6137008e-04 2.779e-05 55616.3674 55617.4647 DMX_0065 
55640.3968 +2.6120957e-05 2.249e-05 55639.3497 55641.4438 DMX_0066 
55672.3089 +1.8856268e-04 1.903e-05 55670.2644 55674.3534 DMX_0067 
55678.3969 +3.4916925e-04 6.159e-05 55678.3395 55678.4543 DMX_0068 
55702.2269 +8.6727541e-04 2.302e-05 55700.1822 55704.2716 DMX_0069 
55732.1912 +1.1363226e-03 2.197e-05 55731.0977 55733.2847 DMX_0070 
55759.1579 +1.2849013e-03 6.384e-05 55759.0988 55759.2170 DMX_0071 
55766.0079 +1.2673454e-03 4.580e-05 55765.9579 55766.0579 DMX_0072 
55773.9854 +1.5984973e-03 2.833e-05 55773.9354 55774.0354 DMX_0073 
55791.0634 +1.3259722e-03 6.749e-05 55791.0008 55791.1261 DMX_0074 
55820.0244 +1.5788069e-03 6.516e-05 55819.9646 55820.0843 DMX_0075 
55828.8350 +1.7425961e-03 4.755e-05 55828.7850 55828.8850 DMX_0076 
55850.9524 +1.4536639e-03 6.439e-05 55850.8937 55851.0111 DMX_0077 
55864.2389 +1.4739898e-03 2.796e-05 55863.6908 55864.7870 DMX_0078 
55877.8753 +1.5001269e-03 5.016e-05 55877.8152 55877.9354 DMX_0079 
55893.1596 +1.4073222e-03 2.240e-05 55892.6107 55893.7085 DMX_0080 
55910.7796 +1.4720711e-03 6.175e-05 55910.7222 55910.8371 DMX_0081 
55919.0885 +1.4425440e-03 2.054e-05 55918.5400 55919.6371 DMX_0082 
55934.7075 +1.3313519e-03 6.319e-05 55934.6475 55934.7675 DMX_0083 
55949.0070 +1.5380526e-03 2.489e-05 55948.4583 55949.5558 DMX_0084 
55971.5943 +1.5552887e-03 4.859e-05 55968.5618 55974.6267 DMX_0085 
55976.5719 +1.4033582e-03 3.832e-05 55976.5219 55976.6219 DMX_0086 
56003.0145 +1.7232950e-03 2.042e-05 56002.4892 56003.5398 DMX_0087 
56020.4763 +1.8970849e-03 2.571e-05 56020.4175 56020.5352 DMX_0088 
56034.9028 +2.0385208e-03 2.238e-05 56034.3505 56035.4551 DMX_0089 
56059.3660 +2.0290041e-03 2.507e-05 56059.3059 56059.4260 DMX_0090 
56067.3291 +2.0748710e-03 2.253e-05 56066.2622 56068.3961 DMX_0091 
56094.7491 +2.1416402e-03 2.038e-05 56094.1980 56095.3001 DMX_0092 
56108.2251 +2.1468288e-03 2.493e-05 56108.1662 56108.2840 DMX_0093 
56130.1659 +2.1813871e-03 4.465e-05 56130.1159 56130.2159 DMX_0094 
56138.6771 +2.1257950e-03 1.894e-05 56138.1037 56139.2504 DMX_0095 
56151.5509 +2.2225112e-03 2.233e-05 56151.0007 56152.1010 DMX_0096 
56173.9990 +2.1215566e-03 1.747e-05 56172.9473 56175.0506 DMX_0097 
56194.4420 +1.9039401e-03 1.962e-05 56193.8877 56194.9964 DMX_0098 
56212.4101 +1.9362312e-03 1.671e-05 56209.8808 56214.9393 DMX_0099 
56235.3663 +1.8860934e-03 2.054e-05 56234.8609 56235.8718 DMX_0100 
56250.3452 +1.8332045e-03 1.675e-05 56249.7551 56250.9354 DMX_0101 
56270.1839 +1.7287446e-03 1.964e-05 56269.6017 56270.7661 DMX_0102 
56288.6358 +1.7596240e-03 2.509e-05 56288.5858 56288.6858 DMX_0103 
56308.6737 +1.6979661e-03 1.669e-05 56305.6941 56311.6532 DMX_0104 
56325.6672 +1.7267836e-03 2.664e-05 56325.6080 56325.7264 DMX_0105 
56333.0959 +1.7054910e-03 1.903e-05 56332.4984 56333.6933 DMX_0106 
56345.6238 +1.9433787e-03 2.784e-05 56345.5662 56345.6814 DMX_0107 
56353.4618 +1.9950852e-03 2.374e-05 56352.4172 56354.5063 DMX_0108 
56367.9279 +1.9249860e-03 2.406e-05 56367.3804 56368.4755 DMX_0109 
56385.4587 +1.8890347e-03 2.282e-05 56383.4624 56387.4551 DMX_0110 
56391.3196 +1.9068026e-03 2.291e-05 56391.2696 56391.3696 DMX_0111 
56405.3539 +1.9863682e-03 2.239e-05 56403.3935 56407.3144 DMX_0112 
56410.4005 +2.0550055e-03 2.760e-05 56410.3505 56410.4505 DMX_0113 
56428.3374 +2.0561255e-03 2.105e-05 56425.3417 56431.3330 DMX_0114 
56432.3465 +2.2893917e-03 2.372e-05 56432.2965 56432.3965 DMX_0115 
56450.7149 +2.2375771e-03 1.946e-05 56450.0931 56451.3367 DMX_0116 
56468.2133 +2.3268697e-03 2.046e-05 56465.2339 56471.1928 DMX_0117 
56472.0928 +2.4759983e-03 2.319e-05 56472.0428 56472.1428 DMX_0118 
56492.6786 +2.5318319e-03 2.023e-05 56492.1540 56493.2031 DMX_0119 
56522.5576 +2.6478956e-03 1.815e-05 56521.9902 56523.1249 DMX_0120 
56531.6225 +2.7086657e-03 2.668e-05 56531.0698 56532.1753 DMX_0121 
56549.9403 +2.7538719e-03 1.211e-05 56548.8598 56551.0208 DMX_0122 
56572.0130 +2.6244782e-03 2.619e-05 56571.9630 56572.0630 DMX_0123 
56585.3437 +2.8645250e-03 1.747e-05 56584.7804 56585.9071 DMX_0124 
56593.9347 +2.6843847e-03 7.674e-05 56593.8847 56593.9847 DMX_0125 
56606.8286 +2.8439213e-03 2.457e-05 56606.7786 56606.8786 DMX_0126 
56614.3430 +2.8648648e-03 2.120e-05 56613.8425 56614.8434 DMX_0127 
56634.8260 +2.8359181e-03 2.673e-05 56634.7662 56634.8858 DMX_0128 
56642.6647 +2.9497739e-03 1.917e-05 56641.5949 56643.7345 DMX_0129 
56669.7317 +2.8928845e-03 2.582e-05 56669.6724 56669.7910 DMX_0130 
56676.6192 +2.9519000e-03 2.551e-05 56676.5692 56676.6692 DMX_0131 
56708.5556 +2.9663368e-03 2.889e-05 56707.5649 56709.5462 DMX_0132 
56737.5131 +3.0771313e-03 4.349e-05 56735.4254 56739.6009 DMX_0133 
